,device,machine,device_name,n,time
0,cpu,Apple,M1,10,0.00027108192443847656
1,cpu,Apple,M1,10,5.984306335449219e-05
2,cpu,Apple,M1,10,4.887580871582031e-05
3,cpu,Apple,M1,10,4.482269287109375e-05
4,cpu,Apple,M1,10,4.38690185546875e-05
5,cpu,Apple,M1,10,4.410743713378906e-05
6,cpu,Apple,M1,10,4.410743713378906e-05
7,cpu,Apple,M1,10,4.291534423828125e-05
8,cpu,Apple,M1,10,4.38690185546875e-05
9,cpu,Apple,M1,10,4.315376281738281e-05
10,mps,Apple,M1 + MPS acceleration,10,0.0019562244415283203
11,mps,Apple,M1 + MPS acceleration,10,0.0008070468902587891
12,mps,Apple,M1 + MPS acceleration,10,0.0007879734039306641
13,mps,Apple,M1 + MPS acceleration,10,0.0006887912750244141
14,mps,Apple,M1 + MPS acceleration,10,0.0006899833679199219
15,mps,Apple,M1 + MPS acceleration,10,0.0007588863372802734
16,mps,Apple,M1 + MPS acceleration,10,0.0006930828094482422
17,mps,Apple,M1 + MPS acceleration,10,0.0006639957427978516
18,mps,Apple,M1 + MPS acceleration,10,0.0008199214935302734
19,mps,Apple,M1 + MPS acceleration,10,0.0007059574127197266
20,cpu,Apple,M1,50,0.00023436546325683594
21,cpu,Apple,M1,50,0.00021386146545410156
22,cpu,Apple,M1,50,0.00021076202392578125
23,cpu,Apple,M1,50,0.000209808349609375
24,cpu,Apple,M1,50,0.00021028518676757812
25,cpu,Apple,M1,50,0.00021004676818847656
26,cpu,Apple,M1,50,0.00020933151245117188
27,cpu,Apple,M1,50,0.0002090930938720703
28,cpu,Apple,M1,50,0.00021028518676757812
29,cpu,Apple,M1,50,0.0002090930938720703
30,mps,Apple,M1 + MPS acceleration,50,0.0007810592651367188
31,mps,Apple,M1 + MPS acceleration,50,0.0008721351623535156
32,mps,Apple,M1 + MPS acceleration,50,0.0008502006530761719
33,mps,Apple,M1 + MPS acceleration,50,0.0007219314575195312
34,mps,Apple,M1 + MPS acceleration,50,0.0012879371643066406
35,mps,Apple,M1 + MPS acceleration,50,0.0007381439208984375
36,mps,Apple,M1 + MPS acceleration,50,0.0006840229034423828
37,mps,Apple,M1 + MPS acceleration,50,0.0006940364837646484
38,mps,Apple,M1 + MPS acceleration,50,0.0006799697875976562
39,mps,Apple,M1 + MPS acceleration,50,0.0006978511810302734
40,cpu,Apple,M1,100,0.0009169578552246094
41,cpu,Apple,M1,100,0.0007932186126708984
42,cpu,Apple,M1,100,0.0007672309875488281
43,cpu,Apple,M1,100,0.0006499290466308594
44,cpu,Apple,M1,100,0.0006558895111083984
45,cpu,Apple,M1,100,0.0006499290466308594
46,cpu,Apple,M1,100,0.0006501674652099609
47,cpu,Apple,M1,100,0.0006508827209472656
48,cpu,Apple,M1,100,0.0006511211395263672
49,cpu,Apple,M1,100,0.0006537437438964844
50,mps,Apple,M1 + MPS acceleration,100,0.0009069442749023438
51,mps,Apple,M1 + MPS acceleration,100,0.0009632110595703125
52,mps,Apple,M1 + MPS acceleration,100,0.0008199214935302734
53,mps,Apple,M1 + MPS acceleration,100,0.0008111000061035156
54,mps,Apple,M1 + MPS acceleration,100,0.0008292198181152344
55,mps,Apple,M1 + MPS acceleration,100,0.0008151531219482422
56,mps,Apple,M1 + MPS acceleration,100,0.0008521080017089844
57,mps,Apple,M1 + MPS acceleration,100,0.0008349418640136719
58,mps,Apple,M1 + MPS acceleration,100,0.0008800029754638672
59,mps,Apple,M1 + MPS acceleration,100,0.0008370876312255859
60,cpu,Apple,M1,250,0.005630970001220703
61,cpu,Apple,M1,250,0.0045049190521240234
62,cpu,Apple,M1,250,0.004415988922119141
63,cpu,Apple,M1,250,0.004026174545288086
64,cpu,Apple,M1,250,0.003724813461303711
65,cpu,Apple,M1,250,0.003717184066772461
66,cpu,Apple,M1,250,0.003368854522705078
67,cpu,Apple,M1,250,0.0032999515533447266
68,cpu,Apple,M1,250,0.0032939910888671875
69,cpu,Apple,M1,250,0.0030028820037841797
70,mps,Apple,M1 + MPS acceleration,250,0.0022110939025878906
71,mps,Apple,M1 + MPS acceleration,250,0.002068042755126953
72,mps,Apple,M1 + MPS acceleration,250,0.002032041549682617
73,mps,Apple,M1 + MPS acceleration,250,0.0020449161529541016
74,mps,Apple,M1 + MPS acceleration,250,0.002149820327758789
75,mps,Apple,M1 + MPS acceleration,250,0.0021271705627441406
76,mps,Apple,M1 + MPS acceleration,250,0.0020830631256103516
77,mps,Apple,M1 + MPS acceleration,250,0.0020847320556640625
78,mps,Apple,M1 + MPS acceleration,250,0.002843141555786133
79,mps,Apple,M1 + MPS acceleration,250,0.0020210742950439453
80,cpu,Apple,M1,500,0.015718936920166016
81,cpu,Apple,M1,500,0.01277303695678711
82,cpu,Apple,M1,500,0.011705875396728516
83,cpu,Apple,M1,500,0.011224031448364258
84,cpu,Apple,M1,500,0.010954856872558594
85,cpu,Apple,M1,500,0.011010885238647461
86,cpu,Apple,M1,500,0.011049985885620117
87,cpu,Apple,M1,500,0.011011123657226562
88,cpu,Apple,M1,500,0.011019229888916016
89,cpu,Apple,M1,500,0.011033773422241211
90,mps,Apple,M1 + MPS acceleration,500,0.006840229034423828
91,mps,Apple,M1 + MPS acceleration,500,0.006468057632446289
92,mps,Apple,M1 + MPS acceleration,500,0.00643467903137207
93,mps,Apple,M1 + MPS acceleration,500,0.006452083587646484
94,mps,Apple,M1 + MPS acceleration,500,0.006470918655395508
95,mps,Apple,M1 + MPS acceleration,500,0.006489992141723633
96,mps,Apple,M1 + MPS acceleration,500,0.006604909896850586
97,mps,Apple,M1 + MPS acceleration,500,0.006415128707885742
98,mps,Apple,M1 + MPS acceleration,500,0.00644683837890625
99,mps,Apple,M1 + MPS acceleration,500,0.006832122802734375
100,cpu,Apple,M1,1000,0.07080817222595215
101,cpu,Apple,M1,1000,0.06789016723632812
102,cpu,Apple,M1,1000,0.06762409210205078
103,cpu,Apple,M1,1000,0.06775403022766113
104,cpu,Apple,M1,1000,0.06764483451843262
105,cpu,Apple,M1,1000,0.06787300109863281
106,cpu,Apple,M1,1000,0.06772875785827637
107,cpu,Apple,M1,1000,0.06761813163757324
108,cpu,Apple,M1,1000,0.06771206855773926
109,cpu,Apple,M1,1000,0.06746292114257812
110,mps,Apple,M1 + MPS acceleration,1000,0.03651309013366699
111,mps,Apple,M1 + MPS acceleration,1000,0.022303342819213867
112,mps,Apple,M1 + MPS acceleration,1000,0.022391080856323242
113,mps,Apple,M1 + MPS acceleration,1000,0.022300004959106445
114,mps,Apple,M1 + MPS acceleration,1000,0.02227020263671875
115,mps,Apple,M1 + MPS acceleration,1000,0.022210121154785156
116,mps,Apple,M1 + MPS acceleration,1000,0.022157907485961914
117,mps,Apple,M1 + MPS acceleration,1000,0.02220320701599121
118,mps,Apple,M1 + MPS acceleration,1000,0.02243518829345703
119,mps,Apple,M1 + MPS acceleration,1000,0.022485971450805664
120,cpu,Apple,M1,1500,0.2114861011505127
121,cpu,Apple,M1,1500,0.20522594451904297
122,cpu,Apple,M1,1500,0.20470881462097168
123,cpu,Apple,M1,1500,0.2046961784362793
124,cpu,Apple,M1,1500,0.20409488677978516
125,cpu,Apple,M1,1500,0.2038571834564209
126,cpu,Apple,M1,1500,0.20420598983764648
127,cpu,Apple,M1,1500,0.2048630714416504
128,cpu,Apple,M1,1500,0.20556116104125977
129,cpu,Apple,M1,1500,0.20531201362609863
130,mps,Apple,M1 + MPS acceleration,1500,0.049748897552490234
131,mps,Apple,M1 + MPS acceleration,1500,0.05032610893249512
132,mps,Apple,M1 + MPS acceleration,1500,0.051218271255493164
133,mps,Apple,M1 + MPS acceleration,1500,0.05348491668701172
134,mps,Apple,M1 + MPS acceleration,1500,0.05356907844543457
135,mps,Apple,M1 + MPS acceleration,1500,0.05273103713989258
136,mps,Apple,M1 + MPS acceleration,1500,0.05273699760437012
137,mps,Apple,M1 + MPS acceleration,1500,0.05243110656738281
138,mps,Apple,M1 + MPS acceleration,1500,0.05264997482299805
139,mps,Apple,M1 + MPS acceleration,1500,0.0522310733795166
140,cpu,Apple,M1,2000,0.4668302536010742
141,cpu,Apple,M1,2000,0.4579429626464844
142,cpu,Apple,M1,2000,0.457813024520874
143,cpu,Apple,M1,2000,0.4581151008605957
144,cpu,Apple,M1,2000,0.4584980010986328
145,cpu,Apple,M1,2000,0.45829200744628906
146,cpu,Apple,M1,2000,0.4570739269256592
147,cpu,Apple,M1,2000,0.4580860137939453
148,cpu,Apple,M1,2000,0.4581570625305176
149,cpu,Apple,M1,2000,0.45854806900024414
150,mps,Apple,M1 + MPS acceleration,2000,0.10998415946960449
151,mps,Apple,M1 + MPS acceleration,2000,0.09371113777160645
152,mps,Apple,M1 + MPS acceleration,2000,0.09360289573669434
153,mps,Apple,M1 + MPS acceleration,2000,0.09361886978149414
154,mps,Apple,M1 + MPS acceleration,2000,0.09395480155944824
155,mps,Apple,M1 + MPS acceleration,2000,0.09395217895507812
156,mps,Apple,M1 + MPS acceleration,2000,0.09388184547424316
157,mps,Apple,M1 + MPS acceleration,2000,0.09407782554626465
158,mps,Apple,M1 + MPS acceleration,2000,0.09368324279785156
159,mps,Apple,M1 + MPS acceleration,2000,0.09329104423522949
160,cpu,Apple,M1,3000,1.4746909141540527
161,cpu,Apple,M1,3000,1.4403760433197021
162,cpu,Apple,M1,3000,1.445241928100586
163,cpu,Apple,M1,3000,1.44260573387146
164,cpu,Apple,M1,3000,1.4447920322418213
165,cpu,Apple,M1,3000,1.4378759860992432
166,cpu,Apple,M1,3000,1.4483580589294434
167,cpu,Apple,M1,3000,1.4474990367889404
168,cpu,Apple,M1,3000,1.4514729976654053
169,cpu,Apple,M1,3000,1.4359967708587646
170,mps,Apple,M1 + MPS acceleration,3000,0.2278749942779541
171,mps,Apple,M1 + MPS acceleration,3000,0.19411087036132812
172,mps,Apple,M1 + MPS acceleration,3000,0.20009279251098633
173,mps,Apple,M1 + MPS acceleration,3000,0.20935988426208496
174,mps,Apple,M1 + MPS acceleration,3000,0.20908021926879883
175,mps,Apple,M1 + MPS acceleration,3000,0.20860886573791504
176,mps,Apple,M1 + MPS acceleration,3000,0.2092599868774414
177,mps,Apple,M1 + MPS acceleration,3000,0.2102680206298828
178,mps,Apple,M1 + MPS acceleration,3000,0.20975017547607422
179,mps,Apple,M1 + MPS acceleration,3000,0.2093980312347412
180,cpu,Apple,M1,4000,3.3328278064727783
181,cpu,Apple,M1,4000,3.289823055267334
182,cpu,Apple,M1,4000,3.288585901260376
183,cpu,Apple,M1,4000,3.2885470390319824
184,cpu,Apple,M1,4000,3.2891829013824463
185,cpu,Apple,M1,4000,3.2900848388671875
186,cpu,Apple,M1,4000,3.2895009517669678
187,cpu,Apple,M1,4000,3.2891628742218018
188,cpu,Apple,M1,4000,3.2892301082611084
189,cpu,Apple,M1,4000,3.3225929737091064
190,mps,Apple,M1 + MPS acceleration,4000,0.4326951503753662
191,mps,Apple,M1 + MPS acceleration,4000,0.37247800827026367
192,mps,Apple,M1 + MPS acceleration,4000,0.3699758052825928
193,mps,Apple,M1 + MPS acceleration,4000,0.3701517581939697
194,mps,Apple,M1 + MPS acceleration,4000,0.3698720932006836
195,mps,Apple,M1 + MPS acceleration,4000,0.37168002128601074
196,mps,Apple,M1 + MPS acceleration,4000,0.3719978332519531
197,mps,Apple,M1 + MPS acceleration,4000,0.3714478015899658
198,mps,Apple,M1 + MPS acceleration,4000,0.3715858459472656
199,mps,Apple,M1 + MPS acceleration,4000,0.37204670906066895
