,device,machine,device_name,n,time
0,cpu,Victus,AMD Ryzen 7 5700G,0,0.02038741111755371
1,cpu,Victus,AMD Ryzen 7 5700G,0,2.47955322265625e-05
2,cpu,Victus,AMD Ryzen 7 5700G,0,1.621246337890625e-05
3,cpu,Victus,AMD Ryzen 7 5700G,0,1.430511474609375e-05
4,cpu,Victus,AMD Ryzen 7 5700G,0,1.4781951904296875e-05
5,cpu,Victus,AMD Ryzen 7 5700G,0,1.430511474609375e-05
6,cpu,Victus,AMD Ryzen 7 5700G,0,1.430511474609375e-05
7,cpu,Victus,AMD Ryzen 7 5700G,0,1.52587890625e-05
8,cpu,Victus,AMD Ryzen 7 5700G,0,1.4066696166992188e-05
9,cpu,Victus,AMD Ryzen 7 5700G,0,1.3828277587890625e-05
10,cuda:0,Victus,RTX 3060,0,1.1656019687652588
11,cuda:0,Victus,RTX 3060,0,0.00012183189392089844
12,cuda:0,Victus,RTX 3060,0,5.7697296142578125e-05
13,cuda:0,Victus,RTX 3060,0,4.553794860839844e-05
14,cuda:0,Victus,RTX 3060,0,4.7206878662109375e-05
15,cuda:0,Victus,RTX 3060,0,4.458427429199219e-05
16,cuda:0,Victus,RTX 3060,0,4.410743713378906e-05
17,cuda:0,Victus,RTX 3060,0,4.4345855712890625e-05
18,cuda:0,Victus,RTX 3060,0,4.4345855712890625e-05
19,cuda:0,Victus,RTX 3060,0,4.482269287109375e-05
20,cpu,Victus,AMD Ryzen 7 5700G,1,0.0003192424774169922
21,cpu,Victus,AMD Ryzen 7 5700G,1,2.956390380859375e-05
22,cpu,Victus,AMD Ryzen 7 5700G,1,2.2649765014648438e-05
23,cpu,Victus,AMD Ryzen 7 5700G,1,2.5987625122070312e-05
24,cpu,Victus,AMD Ryzen 7 5700G,1,2.1457672119140625e-05
25,cpu,Victus,AMD Ryzen 7 5700G,1,2.1696090698242188e-05
26,cpu,Victus,AMD Ryzen 7 5700G,1,2.09808349609375e-05
27,cpu,Victus,AMD Ryzen 7 5700G,1,2.0742416381835938e-05
28,cpu,Victus,AMD Ryzen 7 5700G,1,2.002716064453125e-05
29,cpu,Victus,AMD Ryzen 7 5700G,1,2.1219253540039062e-05
30,cuda:0,Victus,RTX 3060,1,6.008148193359375e-05
31,cuda:0,Victus,RTX 3060,1,4.9114227294921875e-05
32,cuda:0,Victus,RTX 3060,1,4.863739013671875e-05
33,cuda:0,Victus,RTX 3060,1,4.863739013671875e-05
34,cuda:0,Victus,RTX 3060,1,5.984306335449219e-05
35,cuda:0,Victus,RTX 3060,1,5.793571472167969e-05
36,cuda:0,Victus,RTX 3060,1,4.8160552978515625e-05
37,cuda:0,Victus,RTX 3060,1,4.8160552978515625e-05
38,cuda:0,Victus,RTX 3060,1,4.7206878662109375e-05
39,cuda:0,Victus,RTX 3060,1,4.8160552978515625e-05
40,cpu,Victus,AMD Ryzen 7 5700G,2,0.000629425048828125
41,cpu,Victus,AMD Ryzen 7 5700G,2,0.0001850128173828125
42,cpu,Victus,AMD Ryzen 7 5700G,2,0.0001659393310546875
43,cpu,Victus,AMD Ryzen 7 5700G,2,0.0001308917999267578
44,cpu,Victus,AMD Ryzen 7 5700G,2,0.00010395050048828125
45,cpu,Victus,AMD Ryzen 7 5700G,2,0.00010275840759277344
46,cpu,Victus,AMD Ryzen 7 5700G,2,0.00010228157043457031
47,cpu,Victus,AMD Ryzen 7 5700G,2,0.00010251998901367188
48,cpu,Victus,AMD Ryzen 7 5700G,2,0.00010251998901367188
49,cpu,Victus,AMD Ryzen 7 5700G,2,0.00010204315185546875
50,cuda:0,Victus,RTX 3060,2,0.0001251697540283203
51,cuda:0,Victus,RTX 3060,2,0.00012350082397460938
52,cuda:0,Victus,RTX 3060,2,0.00012302398681640625
53,cuda:0,Victus,RTX 3060,2,0.00012373924255371094
54,cuda:0,Victus,RTX 3060,2,0.00012421607971191406
55,cuda:0,Victus,RTX 3060,2,0.0001239776611328125
56,cuda:0,Victus,RTX 3060,2,0.00012373924255371094
57,cuda:0,Victus,RTX 3060,2,0.00012350082397460938
58,cuda:0,Victus,RTX 3060,2,0.0001239776611328125
59,cuda:0,Victus,RTX 3060,2,0.0001227855682373047
60,cpu,Victus,AMD Ryzen 7 5700G,3,0.0007252693176269531
61,cpu,Victus,AMD Ryzen 7 5700G,3,0.0005109310150146484
62,cpu,Victus,AMD Ryzen 7 5700G,3,0.0004565715789794922
63,cpu,Victus,AMD Ryzen 7 5700G,3,0.00046181678771972656
64,cpu,Victus,AMD Ryzen 7 5700G,3,0.000453948974609375
65,cpu,Victus,AMD Ryzen 7 5700G,3,0.0004544258117675781
66,cpu,Victus,AMD Ryzen 7 5700G,3,0.000453948974609375
67,cpu,Victus,AMD Ryzen 7 5700G,3,0.0004565715789794922
68,cpu,Victus,AMD Ryzen 7 5700G,3,0.0004718303680419922
69,cpu,Victus,AMD Ryzen 7 5700G,3,0.0004646778106689453
70,cuda:0,Victus,RTX 3060,3,0.0003612041473388672
71,cuda:0,Victus,RTX 3060,3,0.0003418922424316406
72,cuda:0,Victus,RTX 3060,3,0.00034165382385253906
73,cuda:0,Victus,RTX 3060,3,0.0003407001495361328
74,cuda:0,Victus,RTX 3060,3,0.0003402233123779297
75,cuda:0,Victus,RTX 3060,3,0.00033974647521972656
76,cuda:0,Victus,RTX 3060,3,0.00033974647521972656
77,cuda:0,Victus,RTX 3060,3,0.00034499168395996094
78,cuda:0,Victus,RTX 3060,3,0.00034117698669433594
79,cuda:0,Victus,RTX 3060,3,0.0003399848937988281
