,device,machine,device_name,n,time
0,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,10,0.03616499900817871
1,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,10,5.412101745605469e-05
2,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,10,1.2874603271484375e-05
3,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,10,1.0013580322265625e-05
4,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,10,1.0013580322265625e-05
5,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,10,1.0013580322265625e-05
6,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,10,9.775161743164062e-06
7,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,10,9.059906005859375e-06
8,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,10,1.0013580322265625e-05
9,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,10,1.0013580322265625e-05
10,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,50,0.00015306472778320312
11,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,50,4.1961669921875e-05
12,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,50,3.600120544433594e-05
13,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,50,3.504753112792969e-05
14,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,50,3.5762786865234375e-05
15,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,50,3.600120544433594e-05
16,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,50,3.4809112548828125e-05
17,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,50,3.504753112792969e-05
18,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,50,3.504753112792969e-05
19,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,50,3.504753112792969e-05
20,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,100,0.0007529258728027344
21,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,100,0.0001327991485595703
22,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,100,0.0001289844512939453
23,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,100,0.00012874603271484375
24,cpu,MacBook Pro,Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz,100,0.00012803077697753906
