,device,machine,device_name,n,time
0,cpu,Victus,AMD Ryzen 7 5700G,10,0.01813030242919922
1,cpu,Victus,AMD Ryzen 7 5700G,10,2.7179718017578125e-05
2,cpu,Victus,AMD Ryzen 7 5700G,10,1.8358230590820312e-05
3,cpu,Victus,AMD Ryzen 7 5700G,10,1.7881393432617188e-05
4,cpu,Victus,AMD Ryzen 7 5700G,10,1.621246337890625e-05
5,cpu,Victus,AMD Ryzen 7 5700G,10,1.5735626220703125e-05
6,cpu,Victus,AMD Ryzen 7 5700G,10,1.5497207641601562e-05
7,cpu,Victus,AMD Ryzen 7 5700G,10,1.5020370483398438e-05
8,cpu,Victus,AMD Ryzen 7 5700G,10,2.002716064453125e-05
9,cpu,Victus,AMD Ryzen 7 5700G,10,1.4781951904296875e-05
10,cuda:0,Victus,Nvidia RTX3060,10,1.2075414657592773
11,cuda:0,Victus,Nvidia RTX3060,10,0.00011157989501953125
12,cuda:0,Victus,Nvidia RTX3060,10,4.601478576660156e-05
13,cuda:0,Victus,Nvidia RTX3060,10,4.315376281738281e-05
14,cuda:0,Victus,Nvidia RTX3060,10,5.1975250244140625e-05
15,cuda:0,Victus,Nvidia RTX3060,10,4.601478576660156e-05
16,cuda:0,Victus,Nvidia RTX3060,10,4.57763671875e-05
17,cuda:0,Victus,Nvidia RTX3060,10,4.57763671875e-05
18,cuda:0,Victus,Nvidia RTX3060,10,4.5299530029296875e-05
19,cuda:0,Victus,Nvidia RTX3060,10,4.506111145019531e-05
20,cpu,Victus,AMD Ryzen 7 5700G,50,0.0006678104400634766
21,cpu,Victus,AMD Ryzen 7 5700G,50,5.7220458984375e-05
22,cpu,Victus,AMD Ryzen 7 5700G,50,5.078315734863281e-05
23,cpu,Victus,AMD Ryzen 7 5700G,50,5.054473876953125e-05
24,cpu,Victus,AMD Ryzen 7 5700G,50,5.1021575927734375e-05
25,cpu,Victus,AMD Ryzen 7 5700G,50,5.030632019042969e-05
26,cpu,Victus,AMD Ryzen 7 5700G,50,4.9591064453125e-05
27,cpu,Victus,AMD Ryzen 7 5700G,50,4.935264587402344e-05
28,cpu,Victus,AMD Ryzen 7 5700G,50,5.030632019042969e-05
29,cpu,Victus,AMD Ryzen 7 5700G,50,4.982948303222656e-05
30,cuda:0,Victus,Nvidia RTX3060,50,8.153915405273438e-05
31,cuda:0,Victus,Nvidia RTX3060,50,7.319450378417969e-05
32,cuda:0,Victus,Nvidia RTX3060,50,6.699562072753906e-05
33,cuda:0,Victus,Nvidia RTX3060,50,7.104873657226562e-05
34,cuda:0,Victus,Nvidia RTX3060,50,7.081031799316406e-05
35,cuda:0,Victus,Nvidia RTX3060,50,7.05718994140625e-05
36,cuda:0,Victus,Nvidia RTX3060,50,7.104873657226562e-05
37,cuda:0,Victus,Nvidia RTX3060,50,7.104873657226562e-05
38,cuda:0,Victus,Nvidia RTX3060,50,7.081031799316406e-05
39,cuda:0,Victus,Nvidia RTX3060,50,6.866455078125e-05
40,cpu,Victus,AMD Ryzen 7 5700G,100,0.00043582916259765625
41,cpu,Victus,AMD Ryzen 7 5700G,100,0.0001232624053955078
42,cpu,Victus,AMD Ryzen 7 5700G,100,0.00010180473327636719
43,cpu,Victus,AMD Ryzen 7 5700G,100,0.0001010894775390625
44,cpu,Victus,AMD Ryzen 7 5700G,100,0.00010061264038085938
45,cpu,Victus,AMD Ryzen 7 5700G,100,0.00010061264038085938
46,cpu,Victus,AMD Ryzen 7 5700G,100,0.00010132789611816406
47,cpu,Victus,AMD Ryzen 7 5700G,100,0.00010085105895996094
48,cpu,Victus,AMD Ryzen 7 5700G,100,0.0001010894775390625
49,cpu,Victus,AMD Ryzen 7 5700G,100,0.00010085105895996094
50,cuda:0,Victus,Nvidia RTX3060,100,0.00012612342834472656
51,cuda:0,Victus,Nvidia RTX3060,100,0.00012421607971191406
52,cuda:0,Victus,Nvidia RTX3060,100,0.00012350082397460938
53,cuda:0,Victus,Nvidia RTX3060,100,0.00012302398681640625
54,cuda:0,Victus,Nvidia RTX3060,100,0.0001232624053955078
55,cuda:0,Victus,Nvidia RTX3060,100,0.00012302398681640625
56,cuda:0,Victus,Nvidia RTX3060,100,0.00012302398681640625
57,cuda:0,Victus,Nvidia RTX3060,100,0.00012421607971191406
58,cuda:0,Victus,Nvidia RTX3060,100,0.0001232624053955078
59,cuda:0,Victus,Nvidia RTX3060,100,0.0001232624053955078
60,cpu,Victus,AMD Ryzen 7 5700G,250,0.0010199546813964844
61,cpu,Victus,AMD Ryzen 7 5700G,250,0.0006926059722900391
62,cpu,Victus,AMD Ryzen 7 5700G,250,0.0006723403930664062
63,cpu,Victus,AMD Ryzen 7 5700G,250,0.0006711483001708984
64,cpu,Victus,AMD Ryzen 7 5700G,250,0.0006680488586425781
65,cpu,Victus,AMD Ryzen 7 5700G,250,0.0006670951843261719
66,cpu,Victus,AMD Ryzen 7 5700G,250,0.0006592273712158203
67,cpu,Victus,AMD Ryzen 7 5700G,250,0.0006589889526367188
68,cpu,Victus,AMD Ryzen 7 5700G,250,0.0006592273712158203
69,cpu,Victus,AMD Ryzen 7 5700G,250,0.0006592273712158203
70,cuda:0,Victus,Nvidia RTX3060,250,0.0005166530609130859
71,cuda:0,Victus,Nvidia RTX3060,250,0.000499725341796875
72,cuda:0,Victus,Nvidia RTX3060,250,0.0005021095275878906
73,cuda:0,Victus,Nvidia RTX3060,250,0.0004999637603759766
74,cuda:0,Victus,Nvidia RTX3060,250,0.0004968643188476562
75,cuda:0,Victus,Nvidia RTX3060,250,0.0004973411560058594
76,cuda:0,Victus,Nvidia RTX3060,250,0.0004971027374267578
77,cuda:0,Victus,Nvidia RTX3060,250,0.0004968643188476562
78,cuda:0,Victus,Nvidia RTX3060,250,0.0004973411560058594
79,cuda:0,Victus,Nvidia RTX3060,250,0.0004966259002685547
80,cpu,Victus,AMD Ryzen 7 5700G,500,0.003847837448120117
81,cpu,Victus,AMD Ryzen 7 5700G,500,0.0037076473236083984
82,cpu,Victus,AMD Ryzen 7 5700G,500,0.003493785858154297
83,cpu,Victus,AMD Ryzen 7 5700G,500,0.003341197967529297
84,cpu,Victus,AMD Ryzen 7 5700G,500,0.003204822540283203
85,cpu,Victus,AMD Ryzen 7 5700G,500,0.0034270286560058594
86,cpu,Victus,AMD Ryzen 7 5700G,500,0.003330230712890625
87,cpu,Victus,AMD Ryzen 7 5700G,500,0.003305196762084961
88,cpu,Victus,AMD Ryzen 7 5700G,500,0.0031697750091552734
89,cpu,Victus,AMD Ryzen 7 5700G,500,0.004942893981933594
90,cuda:0,Victus,Nvidia RTX3060,500,0.0019211769104003906
91,cuda:0,Victus,Nvidia RTX3060,500,0.001821279525756836
92,cuda:0,Victus,Nvidia RTX3060,500,0.001813650131225586
93,cuda:0,Victus,Nvidia RTX3060,500,0.0018093585968017578
94,cuda:0,Victus,Nvidia RTX3060,500,0.0018320083618164062
95,cuda:0,Victus,Nvidia RTX3060,500,0.0018093585968017578
96,cuda:0,Victus,Nvidia RTX3060,500,0.0018193721771240234
97,cuda:0,Victus,Nvidia RTX3060,500,0.0018093585968017578
98,cuda:0,Victus,Nvidia RTX3060,500,0.0018088817596435547
99,cuda:0,Victus,Nvidia RTX3060,500,0.0018074512481689453
100,cpu,Victus,AMD Ryzen 7 5700G,1000,0.023814916610717773
101,cpu,Victus,AMD Ryzen 7 5700G,1000,0.019341468811035156
102,cpu,Victus,AMD Ryzen 7 5700G,1000,0.016129255294799805
103,cpu,Victus,AMD Ryzen 7 5700G,1000,0.016478538513183594
104,cpu,Victus,AMD Ryzen 7 5700G,1000,0.016016483306884766
105,cpu,Victus,AMD Ryzen 7 5700G,1000,0.01574087142944336
106,cpu,Victus,AMD Ryzen 7 5700G,1000,0.015057563781738281
107,cpu,Victus,AMD Ryzen 7 5700G,1000,0.014994382858276367
108,cpu,Victus,AMD Ryzen 7 5700G,1000,0.014933109283447266
109,cpu,Victus,AMD Ryzen 7 5700G,1000,0.014924287796020508
110,cuda:0,Victus,Nvidia RTX3060,1000,0.008211612701416016
111,cuda:0,Victus,Nvidia RTX3060,1000,0.0075016021728515625
112,cuda:0,Victus,Nvidia RTX3060,1000,0.006994724273681641
113,cuda:0,Victus,Nvidia RTX3060,1000,0.007502079010009766
114,cuda:0,Victus,Nvidia RTX3060,1000,0.0069196224212646484
115,cuda:0,Victus,Nvidia RTX3060,1000,0.0074920654296875
116,cuda:0,Victus,Nvidia RTX3060,1000,0.006917715072631836
117,cuda:0,Victus,Nvidia RTX3060,1000,0.00721430778503418
118,cuda:0,Victus,Nvidia RTX3060,1000,0.0072023868560791016
119,cuda:0,Victus,Nvidia RTX3060,1000,0.007126569747924805
120,cpu,Victus,AMD Ryzen 7 5700G,1500,0.04409527778625488
121,cpu,Victus,AMD Ryzen 7 5700G,1500,0.0443727970123291
122,cpu,Victus,AMD Ryzen 7 5700G,1500,0.04501795768737793
123,cpu,Victus,AMD Ryzen 7 5700G,1500,0.0453646183013916
124,cpu,Victus,AMD Ryzen 7 5700G,1500,0.04520225524902344
125,cpu,Victus,AMD Ryzen 7 5700G,1500,0.04479622840881348
126,cpu,Victus,AMD Ryzen 7 5700G,1500,0.04458332061767578
127,cpu,Victus,AMD Ryzen 7 5700G,1500,0.044371843338012695
128,cpu,Victus,AMD Ryzen 7 5700G,1500,0.04405951499938965
129,cpu,Victus,AMD Ryzen 7 5700G,1500,0.043798208236694336
130,cuda:0,Victus,Nvidia RTX3060,1500,0.01707005500793457
131,cuda:0,Victus,Nvidia RTX3060,1500,0.016865968704223633
132,cuda:0,Victus,Nvidia RTX3060,1500,0.01608562469482422
133,cuda:0,Victus,Nvidia RTX3060,1500,0.015624046325683594
134,cuda:0,Victus,Nvidia RTX3060,1500,0.017050981521606445
135,cuda:0,Victus,Nvidia RTX3060,1500,0.015688419342041016
136,cuda:0,Victus,Nvidia RTX3060,1500,0.016927242279052734
137,cuda:0,Victus,Nvidia RTX3060,1500,0.015696287155151367
138,cuda:0,Victus,Nvidia RTX3060,1500,0.015639066696166992
139,cuda:0,Victus,Nvidia RTX3060,1500,0.015680313110351562
140,cpu,Victus,AMD Ryzen 7 5700G,2000,0.0934596061706543
141,cpu,Victus,AMD Ryzen 7 5700G,2000,0.09264802932739258
142,cpu,Victus,AMD Ryzen 7 5700G,2000,0.09221053123474121
143,cpu,Victus,AMD Ryzen 7 5700G,2000,0.09316706657409668
144,cpu,Victus,AMD Ryzen 7 5700G,2000,0.0921025276184082
145,cpu,Victus,AMD Ryzen 7 5700G,2000,0.09191274642944336
146,cpu,Victus,AMD Ryzen 7 5700G,2000,0.09218811988830566
147,cpu,Victus,AMD Ryzen 7 5700G,2000,0.0919346809387207
148,cpu,Victus,AMD Ryzen 7 5700G,2000,0.0919034481048584
149,cpu,Victus,AMD Ryzen 7 5700G,2000,0.09240055084228516
150,cuda:0,Victus,Nvidia RTX3060,2000,0.02824115753173828
151,cuda:0,Victus,Nvidia RTX3060,2000,0.0301511287689209
152,cuda:0,Victus,Nvidia RTX3060,2000,0.027698755264282227
153,cuda:0,Victus,Nvidia RTX3060,2000,0.02766275405883789
154,cuda:0,Victus,Nvidia RTX3060,2000,0.02765035629272461
155,cuda:0,Victus,Nvidia RTX3060,2000,0.027861356735229492
156,cuda:0,Victus,Nvidia RTX3060,2000,0.027602434158325195
157,cuda:0,Victus,Nvidia RTX3060,2000,0.027601003646850586
158,cuda:0,Victus,Nvidia RTX3060,2000,0.027712583541870117
159,cuda:0,Victus,Nvidia RTX3060,2000,0.02819538116455078
160,cpu,Victus,AMD Ryzen 7 5700G,3000,0.28963494300842285
161,cpu,Victus,AMD Ryzen 7 5700G,3000,0.2817351818084717
162,cpu,Victus,AMD Ryzen 7 5700G,3000,0.2827267646789551
163,cpu,Victus,AMD Ryzen 7 5700G,3000,0.2836630344390869
164,cpu,Victus,AMD Ryzen 7 5700G,3000,0.3006763458251953
165,cpu,Victus,AMD Ryzen 7 5700G,3000,0.28542256355285645
166,cpu,Victus,AMD Ryzen 7 5700G,3000,0.282151460647583
